Bundle编码,规则,SKU组合,中文名称,清仓价,匹配状态,来源Bundle
B-2P0G-0149000149,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR116002,紫棕EMMA香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS006001
B-2P0G-0149000500,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR111002,紫棕EMMA香水+红色身体乳180ml,109000,已匹配,BSR111002+BXS006001
B-2P0G-0149000235,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR114002,紫棕EMMA香水+绿色身体乳180ml,109000,已匹配,BSR114002+BXS006001
B-2P0G-0149000368,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS007001+BSR112002,银色BLAIR香水+粉色身体乳180ml,109000,已匹配,BSR112002+BXS007001
B-2P0G-0149000370,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS007001+BSR113002,银色BLAIR香水+黄色身体乳180ml,109000,已匹配,BSR113002+BXS007001
B-2P0G-0149000501,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS007001+BSR116002,银色BLAIR香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS007001
B-2P0G-0149000326,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS007001+BSR111002,银色BLAIR香水+红色身体乳180ml,109000,已匹配,BSR111002+BXS007001
B-2P0G-0149000502,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS007001+BSR114002,银色BLAIR香水+绿色身体乳180ml,109000,已匹配,BSR114002+BXS007001
B-2P0G-0149000376,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS010001+BSR112002,浅紫ROXIE香水+粉色身体乳180ml,109000,已匹配,BSR112002+BXS010001
B-2P0G-0149000378,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS010001+BSR113002,浅紫ROXIE香水+黄色身体乳180ml,109000,已匹配,BSR113002+BXS010001
B-2P0G-0149000503,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS010001+BSR116002,浅紫ROXIE香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS010001
B-2P0G-0149000332,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS010001+BSR111002,浅紫ROXIE香水+红色身体乳180ml,109000,已匹配,BSR111002+BXS010001
B-2P0G-0149000504,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS010001+BSR114002,浅紫ROXIE香水+绿色身体乳180ml,109000,已匹配,BSR114002+BXS010001
B-2P0G-0149000380,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS011001+BSR112002,灰蓝NOVA香水+粉色身体乳180ml,109000,已匹配,BSR112002+BXS011001
B-2P0G-0149000382,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS011001+BSR113002,灰蓝NOVA香水+黄色身体乳180ml,109000,已匹配,BSR113002+BXS011001
B-2P0G-0149000505,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS011001+BSR116002,灰蓝NOVA香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS011001
B-2P0G-0149000336,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS011001+BSR111002,灰蓝NOVA香水+红色身体乳180ml,109000,已匹配,BSR111002+BXS011001
B-2P0G-0149000506,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS011001+BSR114002,灰蓝NOVA香水+绿色身体乳180ml,109000,已匹配,BSR114002+BXS011001
B-2P0G-0149000220,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS012001+BSR112002,青色AURORA香水+粉色身体乳180ml,109000,已匹配,BSR112002+BXS012001
